"","RUID","salary_base","experiential1","popType","gender","ethnicity","post_grad_status","Student.Profile..GPA"
"1",141006788,NA,"Yes","Humanities & Social Sciences","Male","Unknown","Seeking employment",3.46
"2",154009138,NA,"No","Humanities & Social Sciences","Female","Unknown","Seeking employment",3.29
"3",139004949,NA,"No","Humanities & Social Sciences","Female","White Non-Hispanic","Seeking employment",3.83
"4",133003764,NA,"No","Humanities & Social Sciences","Female","Asian or Pacific Islander","Seeking employment",2.24
"5",145006957,NA,"Yes","Humanities & Social Sciences","Male","No Response","Seeking employment",3.92
"6",141003369,NA,"No","Humanities & Social Sciences","Male","White Non-Hispanic","Seeking employment",3.69
"7",134001353,NA,"No","Humanities & Social Sciences","Male","Hispanic Non-Puerto-Rican","Seeking employment",3.49
"8",139000199,NA,"Yes","Humanities & Social Sciences","Female","White Non-Hispanic","Seeking employment",3.83
"9",6006869,NA,"No","Humanities & Social Sciences","Female","Black Non-Hispanic","Seeking employment",2.8
"10",144000542,NA,"No","Humanities & Social Sciences","Male","White Non-Hispanic","Seeking employment",3.39
"11",78006120,NA,"No","Humanities & Social Sciences","Male","Puerto Rican","Seeking employment",3.1
"12",149004661,NA,"Yes","Humanities & Social Sciences","Male","White Non-Hispanic","Seeking employment",3.61
"13",149004062,NA,"Yes","Humanities & Social Sciences","Male","Black Non-Hispanic","Seeking employment",3.58
"14",149006787,NA,"Yes","Humanities & Social Sciences","Male","White Non-Hispanic","Seeking employment",3.31
"15",151008440,NA,"Yes","Humanities & Social Sciences","Male","White Non-Hispanic","Seeking employment",3.76
"16",145009044,NA,"No","Humanities & Social Sciences","Female","Hispanic Non-Puerto-Rican","Seeking employment",3.96
"17",135009238,NA,"Yes","Humanities & Social Sciences","Female","No Response","Seeking employment",4
"18",123004668,NA,"Yes","Humanities & Social Sciences","Female","No Response","Seeking employment",3.96
"19",119008546,NA,"Yes","Humanities & Social Sciences","Male","No Response","Seeking employment",3.72
"20",127007968,NA,"Yes","Humanities & Social Sciences","Female","No Response","Seeking employment",3.96
"21",124002373,NA,"Yes","Humanities & Social Sciences","Male","No Response","Seeking employment",4
"22",77005249,NA,"Yes","Humanities & Social Sciences","Female","No Response","Seeking employment",NA
"23",139001531,NA,"No","Humanities & Social Sciences","Female","Hispanic Non-Puerto-Rican","Seeking employment",3.39
"24",138006394,NA,"Yes","Humanities & Social Sciences","Female","Unknown","Seeking employment",2.8
"25",134002718,NA,"No","Humanities & Social Sciences","Male","White Non-Hispanic","Seeking employment",3.12
"26",132005917,NA,"Yes","Humanities & Social Sciences","Male","White Non-Hispanic","Seeking employment",3.01
"27",132005899,NA,"No","Humanities & Social Sciences","Male","Asian or Pacific Islander","Seeking employment",2.76
"28",133007029,NA,"No","Humanities & Social Sciences","Male","Asian or Pacific Islander","Seeking employment",3.53
"29",132005675,NA,"Yes","Humanities & Social Sciences","Male","White Non-Hispanic","Seeking employment",2.9
"30",133009730,NA,"Yes","Humanities & Social Sciences","Male","White Non-Hispanic","Seeking employment",3.21
"31",131000704,NA,"Yes","Humanities & Social Sciences","Male","White Non-Hispanic","Seeking employment",3.19
"32",133004190,NA,"Yes","Humanities & Social Sciences","Male","White Non-Hispanic","Seeking employment",2.93
"33",122006994,NA,"Yes","Humanities & Social Sciences","Male","Hispanic Non-Puerto-Rican","Seeking employment",2.23
"34",148008269,NA,"No","Humanities & Social Sciences","Male","White Non-Hispanic","Seeking employment",3.32
"35",148006634,NA,"No","Humanities & Social Sciences","Male","White Non-Hispanic","Seeking employment",2.91
"36",137008401,NA,"No","Humanities & Social Sciences","Male","Asian or Pacific Islander","Seeking employment",2.83
