="",="(1)",="",=""
="",="",="",=""
="",="b",="pct",="cumpct"
="0",="",="",=""
="Less than $20,000",="14",="0.44",=""
="$20,000-$25,000",="11",="0.35",=""
="$25,001-$30,000",="11",="0.35",=""
="$30,001-$35,000",="26",="0.82",=""
="$35,001-$40,000",="15",="0.48",=""
="$40,001-$45,000",="19",="0.60",=""
="$45,001-$50,000",="22",="0.70",=""
="$50,001-$55,000",="11",="0.35",=""
="$55,001-$60,000",="19",="0.60",=""
="$60,001-$65,000",="22",="0.70",=""
="$65,001-$70,000",="16",="0.51",=""
="$70,001-$75,000",="15",="0.48",=""
="$75,001-$80,000",="5",="0.16",=""
="More than $80,000",="13",="0.41",=""
="NA",="544",="17.24",=""
="Total",="763",="24.18",=""
="1",="",="",=""
="Less than $20,000",="47",="1.49",=""
="$20,000-$25,000",="31",="0.98",=""
="$25,001-$30,000",="30",="0.95",=""
="$30,001-$35,000",="44",="1.39",=""
="$35,001-$40,000",="61",="1.93",=""
="$40,001-$45,000",="57",="1.81",=""
="$45,001-$50,000",="60",="1.90",=""
="$50,001-$55,000",="99",="3.14",=""
="$55,001-$60,000",="81",="2.57",=""
="$60,001-$65,000",="63",="2.00",=""
="$65,001-$70,000",="42",="1.33",=""
="$70,001-$75,000",="33",="1.05",=""
="$75,001-$80,000",="14",="0.44",=""
="More than $80,000",="31",="0.98",=""
="NA",="1700",="53.87",=""
="Total",="2393",="75.82",=""
="Total",="",="",=""
="Less than $20,000",="61",="1.93",=""
="$20,000-$25,000",="42",="1.33",=""
="$25,001-$30,000",="41",="1.30",=""
="$30,001-$35,000",="70",="2.22",=""
="$35,001-$40,000",="76",="2.41",=""
="$40,001-$45,000",="76",="2.41",=""
="$45,001-$50,000",="82",="2.60",=""
="$50,001-$55,000",="110",="3.49",=""
="$55,001-$60,000",="100",="3.17",=""
="$60,001-$65,000",="85",="2.69",=""
="$65,001-$70,000",="58",="1.84",=""
="$70,001-$75,000",="48",="1.52",=""
="$75,001-$80,000",="19",="0.60",=""
="More than $80,000",="44",="1.39",=""
="NA",="2244",="71.10",=""
="Total",="3156",="100.00",=""
