state,school,major,majorstem,majorstem2,months,jobapply,joboffer2,intern2haveacceptedtheofferfromi,internofferhaveyouacceptedanoffe,jobaccept_salary,topindustry,industry_top_versus_intern,jobaccept_ind,internaccept,education_ind,healthcare_ind,food_ind,computerelectronics_ind,othermanufacturing_ind,retailtrade_ind,finance_ind,accounting_ind,engineering_ind,mangconsult_ind,otherprofservices_ind,recreation_ind,othersupportserv_ind,govt_ind,resource1,resource2,resource3,resource4,resource5,resource6,resource7,resource8,resource9,resource10,resource11,resource12,resource13,resource14,resource15,intern,interntype,interntype2,internduty1,internduty2,internduty3,internduty4,internduty5,internduty6,interndissatisfaction1,interndissatisfaction2,interndissatisfaction3,interndissatisfaction4,interndissatisfaction5,careercentervisit,careercentervisit2,careercenterservice1,careercenterservice2,careercenterservice3,careercenterservice4,careercenterservice5,careercenterservice6,careercenterservice7,careercenterservice8,careercenterservice9,gender,age,gpa,race,parents,jobaccept_count,mthresource1,mthresource2,mthresource3,mthresource4,mthresource5,mthresource6,mthresource7,mthresource8,mthresource9,mthresource10,mthresource11,mthresource12,mthresource13,mthresource14,mthresource15,nu_mthresource1,nu_mthresource2,nu_mthresource3,nu_mthresource4,nu_mthresource5,nu_mthresource6,nu_mthresource7,nu_mthresource8,nu_mthresource9,nu_mthresource10,nu_mthresource11,nu_mthresource12,nu_mthresource13,nu_mthresource14,nu_mthresource15,joboffer,offer,sex,internship,cgpa,firstgen,Age,duration,ethnicity,schoolid,n_sch,broadcategory,_merge,maj1,intensity,informal,informal_intense,fair,fair_intense,empsite,empsite_intense,socntwk,socntwk_intense,media,media_intense,ucs,ucs_intense,cart,major_stem,major_stem2,type_internship,type_internship2,percent_internduty1,percent_internduty2,percent_internduty3,percent_internduty4,percent_internduty5,percent_internduty6,nu_interndissatisfaction1,nu_interndissatisfaction2,nu_interndissatisfaction3,nu_interndissatisfaction4,nu_interndissatisfaction5,visit_careercenter,visit2_careercenter,nu_careercenterservice1,cs_careercenterservice1,nu_careercenterservice2,cs_careercenterservice2,nu_careercenterservice3,cs_careercenterservice3,nu_careercenterservice4,cs_careercenterservice4,nu_careercenterservice5,cs_careercenterservice5,nu_careercenterservice6,cs_careercenterservice6,stem_major
California,University of California-Riverside,Accounting and Related Services,NA,non-STEM,24,Yes,Yes,Yes,Yes,"$55,001-$60,000",Accounting Services,Different,Accounting Services,No,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Not at all useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,"Yes, internship","Paid: Private, for-profit company",Paid,15,25,30,20,5,5,NA,NA,NA,NA,NA,2-3 / semester,Yes,Very helpful,Very helpful,Very helpful,Very helpful,Very helpful,Very helpful,Very helpful,Very helpful,Very helpful,Female,20 to 24,3.0 - 3.24,Asian-American,Yes,73,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Not at all useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Yes,1,Female,"Yes, internship",3.0 - 3.24,Yes,20 to 24,24,Asian-American,University of California-Riverside,92,"Business, Management, Marketing, and Related Support Services ",matched (3),Accounting and Related Services,15,1,5,1,2,1,1,1,1,1,3,1,1,"Business, Management, Marketing, and Related Support Services ",,non-STEM,"Paid: Private, for-profit company",Paid,15,25,30,20,5,5,0,0,0,0,0,2-3 / semester,Yes,Very helpful,1,Very helpful,1,Very helpful,1,Very helpful,1,Very helpful,1,Very helpful,1,non-STEM
California,California State University-Los Angeles,Accounting and Related Services,NA,non-STEM,3,Yes,Yes,No,NA,"$20,000-$25,000",Accounting Services,NA,Computer & Electronics Manufacturing,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,Somewhat useful,Very useful,Extremely useful,Extremely useful,Somewhat useful,Not at all useful,Did not use,Did not use,Not at all useful,Extremely useful,Did not use,Did not use,Did not use,Did not use,Somewhat useful,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,25 to 30,2.5 - 2.74,Asian-American,No,39,Somewhat useful,Very useful,Extremely useful,Extremely useful,Somewhat useful,Not at all useful,Did not use,Did not use,Not at all useful,Extremely useful,Did not use,Did not use,Did not use,Did not use,Somewhat useful,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,Yes,1,Male,No,2.5 - 2.74,No,25 to 30,3,Asian-American,California State University-Los Angeles,31,"Business, Management, Marketing, and Related Support Services ",matched (3),Accounting and Related Services,9,0,0,1,2,1,1,0,0,1,3,1,1,"Business, Management, Marketing, and Related Support Services ",,non-STEM,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,non-STEM
California,California State University-San Marcos,Accounting and Related Services,NA,non-STEM,3,Yes,Yes,No,NA,"$40,001-$45,000",Accounting Services,NA,Other Manufacturing,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,Very useful,Very useful,Somewhat useful,Very useful,Very useful,Somewhat useful,Not at all useful,Extremely useful,Somewhat useful,Did not use,Extremely useful,Did not use,Did not use,Did not use,Not at all useful,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,20 to 24,3.75 - 3.99,White,Yes,38,Very useful,Very useful,Somewhat useful,Very useful,Very useful,Somewhat useful,Not at all useful,Extremely useful,Somewhat useful,Did not use,Extremely useful,Did not use,Did not use,Did not use,Not at all useful,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,Yes,1,Male,No,3.75 - 3.99,Yes,20 to 24,3,White,California State University-San Marcos,39,"Business, Management, Marketing, and Related Support Services ",matched (3),Accounting and Related Services,11,1,2,1,2,1,1,1,1,1,3,0,0,"Business, Management, Marketing, and Related Support Services ",,non-STEM,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,non-STEM
Kentucky,University of Kentucky,Accounting and Related Services,NA,non-STEM,12,Yes,Yes,Yes,Yes,"$40,001-$45,000",Healthcare,Different,Accounting Services,Yes,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Did not use,Very useful,Did not use,Did not use,Extremely useful,Very useful,Very useful,Very useful,Very useful,Did not use,"Yes, co-op","Paid: Private, for-profit company",Paid,40,30,10,10,0,10,NA,NA,NA,NA,NA,Once / semester,Yes,Did not use,Very helpful,Very helpful,Very helpful,Very helpful,Somewhat helpful,Very helpful,Not very helpful,Very helpful,Male,20 to 24,2.5 - 2.74,African-American,No,73,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Did not use,Very useful,Did not use,Did not use,Extremely useful,Very useful,Very useful,Very useful,Very useful,Did not use,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,Yes,1,Male,"Yes, co-op",2.5 - 2.74,No,20 to 24,12,African-American,University of Kentucky,128,"Business, Management, Marketing, and Related Support Services ",matched (3),Accounting and Related Services,11,1,4,1,1,1,1,1,1,1,1,1,1,"Business, Management, Marketing, and Related Support Services ",,non-STEM,"Paid: Private, for-profit company",Paid,40,30,10,10,0,10,0,0,0,0,0,Once / semester,Yes,Did not use,0,Very helpful,1,Very helpful,1,Very helpful,1,Very helpful,1,Somewhat helpful,1,non-STEM
Maryland,Mount St Mary's University,Accounting and Related Services,NA,non-STEM,6,Yes,Yes,Yes,Yes,NA,Government,NA,NA,No,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, internship",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4+ / semester,Yes,Very helpful,Very helpful,Very helpful,Very helpful,Very helpful,Very helpful,Very helpful,Very helpful,Very helpful,Female,20 to 24,3.5 - 3.74,White,Yes,3092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,1,Female,"Yes, internship",3.5 - 3.74,Yes,20 to 24,6,White,Mount St Mary's University,37,"Business, Management, Marketing, and Related Support Services ",matched (3),Accounting and Related Services,,,,,,,,,,,,,,"Business, Management, Marketing, and Related Support Services ",,non-STEM,,,,,,,,,0,0,0,0,0,4+ / semester,Yes,Very helpful,1,Very helpful,1,Very helpful,1,Very helpful,1,Very helpful,1,Very helpful,1,non-STEM
South Dakota,Black Hills State University,Accounting and Related Services,NA,non-STEM,11,Yes,Yes,Yes,Yes,"$40,001-$45,000",Accounting Services,Different,Accounting Services,No,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,Extremely useful,Very useful,NA,Very useful,Somewhat useful,Did not use,Did not use,Somewhat useful,Did not use,Somewhat useful,Very useful,Somewhat useful,Did not use,Somewhat useful,Did not use,"Yes, internship","Paid: Private, for-profit company",Paid,50,5,5,25,10,5,NA,NA,NA,NA,NA,2-3 / semester,Yes,Somewhat helpful,Very helpful,Did not use,Somewhat helpful,Did not use,Did not use,Did not use,Did not use,Somewhat helpful,Female,20 to 24,3.5 - 3.74,White,No,73,Extremely useful,Very useful,,Very useful,Somewhat useful,Did not use,Did not use,Somewhat useful,Did not use,Somewhat useful,Very useful,Somewhat useful,Did not use,Somewhat useful,Did not use,1,1,,1,1,0,0,1,0,1,1,1,0,1,0,Yes,1,Female,"Yes, internship",3.5 - 3.74,No,20 to 24,11,White,Black Hills State University,1,"Business, Management, Marketing, and Related Support Services ",matched (3),Accounting and Related Services,9,1,4,1,1,1,1,0,0,1,1,1,1,"Business, Management, Marketing, and Related Support Services ",,non-STEM,"Paid: Private, for-profit company",Paid,50,5,5,25,10,5,0,0,0,0,0,2-3 / semester,Yes,Somewhat helpful,1,Very helpful,1,Did not use,0,Somewhat helpful,1,Did not use,0,Did not use,0,non-STEM
Illinois,Greenville College,Accounting and Related Services,NA,non-STEM,1,Yes,Yes,Yes,No,NA,"Finance, Insurance, & Real Estate",Different,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Somewhat useful,NA,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,"Yes, internship","Unpaid: Private, for-profit company",Unpaid,10,10,20,20,20,20,NA,NA,NA,NA,NA,Never,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3092,Somewhat useful,,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,Yes,1,,"Yes, internship",,,,1,,Greenville College,21,"Business, Management, Marketing, and Related Support Services ",matched (3),Accounting and Related Services,14,1,5,1,2,,,1,1,1,3,1,1,"Business, Management, Marketing, and Related Support Services ",,non-STEM,"Unpaid: Private, for-profit company",Unpaid,10,10,20,20,20,20,0,0,0,0,0,Never,No,,,,,,,,,,,,,non-STEM
Kentucky,University of Kentucky,Accounting and Related Services,NA,non-STEM,2,Yes,No,No,NA,NA,Accounting Services,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,20 to 24,3.5 - 3.74,White,Yes,3092,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,No,0,Male,No,3.5 - 3.74,Yes,20 to 24,2,White,University of Kentucky,128,"Business, Management, Marketing, and Related Support Services ",matched (3),Accounting and Related Services,15,1,5,1,2,1,1,1,1,1,3,1,1,"Business, Management, Marketing, and Related Support Services ",,non-STEM,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,non-STEM
Kentucky,Kentucky Wesleyan College,Accounting and Related Services,NA,non-STEM,6,Yes,Yes,Yes,No,NA,Accounting Services,Same,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,Somewhat useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Did not use,Did not use,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,"Yes, internship","Paid: Private, for-profit company",Paid,0,10,0,45,45,0,NA,NA,NA,NA,NA,2-3 / semester,Yes,Very helpful,Very helpful,Very helpful,Very helpful,Very helpful,Very helpful,Very helpful,Very helpful,Very helpful,Female,20 to 24,3.75 - 3.99,White,Yes,3092,Somewhat useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Did not use,Did not use,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,Yes,1,Female,"Yes, internship",3.75 - 3.99,Yes,20 to 24,6,White,Kentucky Wesleyan College,7,"Business, Management, Marketing, and Related Support Services ",matched (3),Accounting and Related Services,13,1,4,1,1,1,1,1,1,1,3,1,1,"Business, Management, Marketing, and Related Support Services ",,non-STEM,"Paid: Private, for-profit company",Paid,0,10,0,45,45,0,0,0,0,0,0,2-3 / semester,Yes,Very helpful,1,Very helpful,1,Very helpful,1,Very helpful,1,Very helpful,1,Very helpful,1,non-STEM
Delaware,University of Delaware,Accounting and Related Services,NA,non-STEM,24,Yes,Yes,Yes,Yes,"$60,001-$65,000",Accounting Services,Same,Management Consulting,No,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,Very useful,Very useful,Extremely useful,Extremely useful,Somewhat useful,Did not use,Very useful,Did not use,Did not use,Very useful,Very useful,Very useful,Did not use,Very useful,Did not use,"Yes, internship","Paid: Private, for-profit company",Paid,15,35,0,25,25,0,NA,NA,NA,NA,NA,2-3 / semester,Yes,Did not use,Somewhat helpful,Somewhat helpful,Did not use,Did not use,Did not use,Did not use,Did not use,Very helpful,Male,20 to 24,3.5 - 3.74,White,Yes,38,Very useful,Very useful,Extremely useful,Extremely useful,Somewhat useful,Did not use,Very useful,Did not use,Did not use,Very useful,Very useful,Very useful,Did not use,Very useful,Did not use,1,1,1,1,1,0,1,0,0,1,1,1,0,1,0,Yes,1,Male,"Yes, internship",3.5 - 3.74,Yes,20 to 24,24,White,University of Delaware,121,"Business, Management, Marketing, and Related Support Services ",matched (3),Accounting and Related Services,10,1,3,1,1,1,1,1,1,1,1,1,1,"Business, Management, Marketing, and Related Support Services ",,non-STEM,"Paid: Private, for-profit company",Paid,15,35,0,25,25,0,0,0,0,0,0,2-3 / semester,Yes,Did not use,0,Somewhat helpful,1,Somewhat helpful,1,Did not use,0,Did not use,0,Did not use,0,non-STEM
